,thresholds
0,0.5
1,0.44999999999999996
2,0.6
3,0.15
4,0.05
5,0.2
6,0.7
7,0.5
8,0.5
9,0.1
10,0.25
11,0.5
12,0.5
13,0.1
14,0.2
15,0.5
16,0.15
17,0.25
18,0.2
19,0.3
20,0.15
21,0.15
22,0.5
23,0.5
24,0.2
25,0.15
26,0.25
27,0.49999999999999994
28,0.6
29,0.15
30,0.25
31,0.15
32,0.44999999999999996
33,0.3
34,0.5
35,0.25
36,0.2
37,0.25
38,0.15
39,0.1
40,0.5
41,0.5
42,0.3
43,0.2
44,0.5
45,0.5
46,0.1
47,0.5
48,0.2
49,0.5
50,0.35
51,0.3
52,0.15
53,0.5499999999999999
54,0.2
55,0.25
56,0.5
57,0.2
58,0.1
59,0.6
60,0.75
61,0.25
62,0.39999999999999997
63,0.9
64,0.3
65,0.3
66,0.2
67,0.25
68,0.5
69,0.15
70,0.3
71,0.2
72,0.39999999999999997
73,0.35
74,0.2
75,0.5
76,0.5
77,0.1
78,0.2
79,0.5
80,0.39999999999999997
81,0.75
82,0.5
83,0.5
84,0.5
85,0.5
86,0.5
87,0.25
88,0.2
89,0.5
90,0.35
91,0.25
92,0.25
93,0.5
94,0.35
95,0.3
96,0.2
97,0.3
98,0.15
99,0.15
100,0.2
101,0.25
102,0.25
103,0.5
104,0.35
105,0.3
106,0.5
107,0.5
108,0.95
109,0.5499999999999999
110,0.05
111,0.5
112,0.5499999999999999
113,0.2
114,0.25
115,0.39999999999999997
116,0.5
117,0.5
118,0.05
119,0.7
120,0.35
121,0.7
122,0.1
123,0.15
124,0.5
125,0.15
126,0.2
127,0.6
128,0.5
129,0.5
130,0.2
131,0.1
132,0.25
133,0.5
134,0.2
135,0.15
136,0.15
137,0.5499999999999999
138,0.25
139,0.5
140,0.1
141,0.2
142,0.25
143,0.7
144,0.5
145,0.65
146,0.39999999999999997
147,0.25
148,0.5
149,0.15
150,0.6
151,0.1
152,0.25
153,0.25
154,0.25
155,0.5
156,0.5
157,0.2
158,0.35
159,0.15
160,0.5
161,0.5
162,0.5
163,0.15
164,0.35
165,0.5499999999999999
166,0.3
167,0.5
168,0.25
169,0.44999999999999996
170,0.3
171,0.25
172,0.5
173,0.25
174,0.15
175,0.25
176,0.3
177,0.5
178,0.15
179,0.2
180,0.05
181,0.5
182,0.39999999999999997
183,0.05
184,0.2
185,0.5
186,0.75
187,0.3
188,0.3
189,0.1
190,0.5
191,0.5
192,0.2
193,0.05
194,0.5
195,0.25
196,0.2
197,0.15
198,0.5
199,0.39999999999999997
200,0.3
201,0.15
202,0.2
203,0.5499999999999999
204,0.3
205,0.65
206,0.5
207,0.5
208,0.5
209,0.95
210,0.1
211,0.2
212,0.5
213,0.35
214,0.5
215,0.25
216,0.15
217,0.6
218,0.5
219,0.6
220,0.3
221,0.1
222,0.5
223,0.25
224,0.5
225,0.15
226,0.2
227,0.35
